/Users/bell/ecoraid/2015/Moorings/15bs8a/final_data/15bs8a_s39_0023m.nc
2016-03-24,-1.7137389183
2016-03-25,-1.72037982941
2016-03-26,-1.72271943092
2016-03-27,-1.71687018871
2016-03-28,-1.7053784132
2016-03-29,-1.70457148552
2016-03-30,-1.693313241
2016-03-31,-1.70985209942
2016-04-01,-1.73020482063
2016-04-02,-1.73375630379
2016-04-03,-1.73705136776
2016-04-04,-1.73243963718
2016-04-05,-1.72882223129
2016-04-06,-1.72521042824
2016-04-07,-1.69637012482
2016-04-08,-1.72001111507
2016-04-09,-1.73545622826
2016-04-10,-1.73906385899
2016-04-11,-1.73507356644
2016-04-12,-1.7246389389
2016-04-13,-1.72442495823
2016-04-14,-1.72076320648
2016-04-15,-1.71589028835
2016-04-16,-1.71905553341
2016-04-17,-1.71912705898
2016-04-18,-1.72274231911
2016-04-19,-1.7193236351
2016-04-20,-1.68033885956
2016-04-21,-1.69669377804
2016-04-22,-1.67313957214
2016-04-23,-1.49494373798
2016-04-24,-1.59059095383
2016-04-25,-1.59781110287
2016-04-26,-1.56866872311
2016-04-27,-1.60212218761
2016-04-28,-1.5697312355
2016-04-29,-1.51599442959
2016-04-30,-1.50056183338
2016-05-01,-1.46998405457
2016-05-02,-1.43696391582
2016-05-03,-1.45056319237
2016-05-04,-1.4409930706
2016-05-05,-1.46480762959
2016-05-06,-1.42990624905
2016-05-07,-1.42174232006
2016-05-08,-1.42053544521
2016-05-09,-1.32676661015
2016-05-10,-1.33757567406
2016-05-11,-1.31078755856
2016-05-12,-1.29918193817
2016-05-13,-1.26184093952
2016-05-14,-1.24889028072
2016-05-15,-1.25256597996
2016-05-16,-1.26042985916
2016-05-17,-1.291644454
2016-05-18,-0.962463915348
2016-05-19,-0.579127788544
2016-05-20,-0.939181923866
2016-05-21,-0.810805559158
2016-05-22,-0.428120136261
2016-05-23,-1.11014580727
2016-05-24,-1.37935066223
2016-05-25,-0.316597223282
2016-05-26,-0.713503479958
2016-05-27,-0.239009022713
2016-05-28,-0.961613178253
2016-05-29,-1.23330211639
2016-05-30,-0.831130564213
2016-05-31,-1.03338956833
2016-06-01,-0.991104185581
2016-06-02,-1.00663399696
2016-06-03,-1.01598119736
2016-06-04,-0.608444452286
2016-06-05,-0.50649446249
2016-06-06,-0.261025696993
2016-06-07,0.134989589453
2016-06-08,0.265084713697
2016-06-09,0.0237875021994
2016-06-10,0.167706251144
2016-06-11,0.278929173946
2016-06-12,-0.322904855013
2016-06-13,-0.202802091837
2016-06-14,0.205936104059
2016-06-15,0.15361943841
2016-06-16,0.0668729171157
2016-06-17,-0.530502796173
2016-06-18,-0.977800667286
2016-06-19,-1.01177990437
2016-06-20,-1.19502222538
2016-06-21,-1.04156315327
2016-06-22,-0.880724310875
2016-06-23,-0.87060970068
2016-06-24,-0.906207621098
2016-06-25,-0.945304870605
2016-06-26,-0.816298604012
2016-06-27,-0.772901415825
2016-06-28,-0.602436125278
2016-06-29,-0.600746512413
2016-06-30,0.451747924089
2016-07-01,0.391750007868
2016-07-02,0.00770902726799
2016-07-03,-0.0237208344042
2016-07-04,-0.564420819283
2016-07-05,-0.439056932926
2016-07-06,-0.135577782989
2016-07-07,0.331969439983
2016-07-08,0.558643758297
2016-07-09,-0.339391678572
2016-07-10,-0.321626394987
2016-07-11,-0.212906256318
2016-07-12,-0.441197901964
2016-07-13,-0.516427755356
2016-07-14,-0.28837916255
2016-07-15,-0.336590975523
2016-07-16,-0.0840354114771
2016-07-17,-0.164212495089
2016-07-18,0.421251386404
2016-07-19,3.58636379242
2016-07-20,3.74550127983
2016-07-21,4.17461252213
2016-07-22,4.41067504883
2016-07-23,4.31686449051
2016-07-24,4.28437566757
2016-07-25,4.23887777328
2016-07-26,4.42023801804
2016-07-27,4.18614864349
2016-07-28,4.14365911484
2016-07-29,3.62640833855
2016-07-30,3.53957915306
2016-07-31,3.47674655914
2016-08-01,3.40003752708
2016-08-02,3.79606604576
2016-08-03,3.44364643097
2016-08-04,1.81559789181
2016-08-05,2.15409588814
2016-08-06,2.94449305534
2016-08-07,4.04978752136
2016-08-08,2.27592420578
2016-08-09,1.08841180801
2016-08-10,0.722310423851
2016-08-11,1.51768195629
2016-08-12,2.13270497322
2016-08-13,3.36187505722
2016-08-14,4.12892866135
2016-08-15,4.48960781097
2016-08-16,3.48448896408
2016-08-17,2.34304308891
2016-08-18,3.12120628357
2016-08-19,4.67470359802
2016-08-20,4.55037021637
2016-08-21,4.41522789001
2016-08-22,4.70621442795
2016-08-23,4.40619182587
2016-08-24,4.72195911407
2016-08-25,4.26002836227
2016-08-26,3.72990012169
2016-08-27,4.49763727188
2016-08-28,4.41764259338
2016-08-29,4.80198907852
2016-08-30,4.57667160034
2016-08-31,4.83321714401
2016-09-01,5.00041532516
2016-09-02,5.09593772888
2016-09-03,4.58783102036
2016-09-04,4.28589439392
2016-09-05,3.69350218773
2016-09-06,6.63470649719
2016-09-07,8.00433444977
2016-09-08,9.44118595123
2016-09-09,9.69400691986
2016-09-10,9.72186756134
2016-09-11,9.55131244659
2016-09-12,7.85740709305
2016-09-13,9.73205566406
2016-09-14,9.55208110809
2016-09-15,8.92598056793
2016-09-16,8.62220096588
2016-09-17,8.51899623871
2016-09-18,8.60897254944
2016-09-19,8.6241979599
2016-09-20,8.56638431549
2016-09-21,8.55368518829
2016-09-22,8.46702957153
2016-09-23,8.3595905304
2016-09-24,8.25762748718
2016-09-25,8.21602725983

/Users/bell/ecoraid/2015/Moorings/15bs8a/final_data/15bs8a_s39_0035m.nc
,0
2015-09-24,-0.894012510777
2015-09-25,-0.880216658115
2015-09-26,-0.847738206387
2015-09-27,-0.889975011349
2015-09-28,-0.764812529087
2015-09-29,-0.896231234074
2015-09-30,-0.940249979496
2015-10-01,-0.720373630524
2015-10-02,1.89695489407
2015-10-03,-0.894484698772
2015-10-04,0.337858349085
2015-10-05,3.67006397247
2015-10-06,4.1171298027
2015-10-07,-0.136770829558
2015-10-08,-1.15517640114
2015-10-09,-0.993696510792
2015-10-10,-0.0234638918191
2015-10-11,0.328081935644
2015-10-12,-0.437361121178
2015-10-13,0.618177771568
2015-10-14,0.548195838928
2015-10-15,0.778095841408
2015-10-16,0.821329176426
2015-10-17,0.68354165554
2015-10-18,1.19006323814
2015-10-19,2.44040560722
2015-10-20,2.84222650528
2015-10-21,2.84916877747
2015-10-22,2.3336083889
2015-10-23,2.84851932526
2015-10-24,3.61446452141
2015-10-25,3.89782857895
2015-10-26,3.19776177406
2015-10-27,4.17238140106
2015-10-28,4.03469324112
2015-10-29,3.91085004807
2015-10-30,3.88750267029
2015-10-31,3.85272717476
2015-11-01,3.84631466866
2015-11-02,3.82569789886
2015-11-03,3.80858755112
2015-11-04,3.78582024574
2015-11-05,3.72610139847
2015-11-06,3.62960267067
2015-11-07,3.47216868401
2015-11-08,3.37010622025
2015-11-09,3.17138051987
2015-11-10,2.67005062103
2015-11-11,2.68317627907
2015-11-12,2.56934928894
2015-11-13,2.38073396683
2015-11-14,2.19190406799
2015-11-15,2.1056368351
2015-11-16,1.76020765305
2015-11-17,1.65254795551
2015-11-18,1.51384580135
2015-11-19,1.21504926682
2015-11-20,0.995342373848
2015-11-21,0.949147224426
2015-11-22,0.869211137295
2015-11-23,0.830243766308
2015-11-24,0.805924296379
2015-11-25,0.822187483311
2015-11-26,0.714675009251
2015-11-27,0.614231228828
2015-11-28,0.542833328247
2015-11-29,0.545308351517
2015-11-30,0.513040959835
2015-12-01,0.487833321095
2015-12-02,0.438813209534
2015-12-03,0.399385422468
2015-12-04,0.328747928143
2015-12-05,0.220949307084
2015-12-06,0.125699311495
2015-12-07,0.0519729182124
2015-12-08,0.00752291642129
2015-12-09,-0.251370847225
2015-12-10,-0.524273633957
2015-12-11,-0.588290989399
2015-12-12,-0.559204161167
2015-12-13,-0.636979877949
2015-12-14,-0.736899971962
2015-12-15,-0.925943732262
2015-12-16,-0.977238178253
2015-12-17,-1.01550137997
2015-12-18,-1.11215901375
2015-12-19,-1.18113815784
2015-12-20,-1.19193959236
2015-12-21,-1.27506113052
2015-12-22,-1.33421599865
2015-12-23,-1.49988055229
2015-12-24,-1.63609099388
2015-12-25,-1.59011876583
2015-12-26,-1.42780208588
2015-12-27,-1.35072779655
2015-12-28,-1.53602218628
2015-12-29,-1.43279862404
2015-12-30,-1.34999585152
2015-12-31,-1.66700208187
2016-01-01,-1.36074233055
2016-01-02,-1.51617288589
2016-01-03,-1.703597188
2016-01-04,-1.71760833263
2016-01-05,-1.70967018604
2016-01-06,-1.68351662159
2016-01-07,-1.61632633209
2016-01-08,-1.26852917671
2016-01-09,-1.17447638512
2016-01-10,-1.2421451807
2016-01-11,-1.22471046448
2016-01-12,-1.17889380455
2016-01-13,-1.29204928875
2016-01-14,-1.33202433586
2016-01-15,-1.40316104889
2016-01-16,-1.63839232922
2016-01-17,-1.68648052216
2016-01-18,-1.59178471565
2016-01-19,-1.01963686943
2016-01-20,-0.86016112566
2016-01-21,-0.996127784252
2016-01-22,-1.39430832863
2016-01-23,-1.5234951973
2016-01-24,-1.60609936714
2016-01-25,-1.43501389027
2016-01-26,-1.58048331738
2016-01-27,-1.67555141449
2016-01-28,-1.59909307957
2016-01-29,-1.75481045246
2016-01-30,-1.75112915039
2016-01-31,-1.74931454659
2016-02-01,-1.74736940861
2016-02-02,-1.74553263187
2016-02-03,-1.73988819122
2016-02-04,-1.74385488033
2016-02-05,-1.74465143681
2016-02-06,-1.74608683586
2016-02-07,-1.74583816528
2016-02-08,-1.74554657936
2016-02-09,-1.74499166012
2016-02-10,-1.74507367611
2016-02-11,-1.74520897865
2016-02-12,-1.74608683586
2016-02-13,-1.74454724789
2016-02-14,-1.74484860897
2016-02-15,-1.74415278435
2016-02-16,-1.74289929867
2016-02-17,-1.74321389198
2016-02-18,-1.74555277824
2016-02-19,-1.74642574787
2016-02-20,-1.74575138092
2016-02-21,-1.74699795246
2016-02-22,-1.74677574635
2016-02-23,-1.74355483055
2016-02-24,-1.74274647236
2016-02-25,-1.74591875076
2016-02-26,-1.74941325188
2016-02-27,-1.74967992306
2016-02-28,-1.75099444389
2016-02-29,-1.75551247597
2016-03-01,-1.75471937656
2016-03-02,-1.75404024124
2016-03-03,-1.74636948109
2016-03-04,-1.74203050137
2016-03-05,-1.73846113682
2016-03-06,-1.72487568855
2016-03-07,-1.72130966187
2016-03-08,-1.72197365761
2016-03-09,-1.73893821239
2016-03-10,-1.74204647541
2016-03-11,-1.7456805706
2016-03-12,-1.74201738834
2016-03-13,-1.73920345306
2016-03-14,-1.74781811237
2016-03-15,-1.74624931812
2016-03-16,-1.74391114712
2016-03-17,-1.73730003834
2016-03-18,-1.72552013397
2016-03-19,-1.71976184845
2016-03-20,-1.71872150898
2016-03-21,-1.71512711048
2016-03-22,-1.7167840004
2016-03-23,-1.71850073338
2016-03-24,-1.71326732635
2016-03-25,-1.71983122826
2016-03-26,-1.72284448147
2016-03-27,-1.71708059311
2016-03-28,-1.70519995689
2016-03-29,-1.70391178131
2016-03-30,-1.69446599483
2016-03-31,-1.70948123932
2016-04-01,-1.72969305515
2016-04-02,-1.73336040974
2016-04-03,-1.73691105843
2016-04-04,-1.73230421543
2016-04-05,-1.72881114483
2016-04-06,-1.72528815269
2016-04-07,-1.70269095898
2016-04-08,-1.71909511089
2016-04-09,-1.73466181755
2016-04-10,-1.73867917061
2016-04-11,-1.73549926281
2016-04-12,-1.72768676281
2016-04-13,-1.72719025612
2016-04-14,-1.72808396816
